Title, Link, ThumbnailLink, Genre
Nanatsu no Taizai: Imashime no Fukkatsu,https://kissanime.ac/Anime/Nanatsu-no-Taizai-Imashime-no-Fukkatsu/,kissanime.ac/media/imagesv2/2018/01/Nanatsu-no-Taizai-Imashime-no-Fukkatsu.jpg,Action Anime|  Supernatural Anime|  Fantasy Anime|  Shounen Anime
Darling in the FranXX (Sub),https://kissanime.ac/Anime/Darling-in-the-FranXX/,kissanime.ac/media/imagesv2/2018/01/Darling-in-the-FranXX.jpg,Sci-Fi Anime|  Mecha Anime
Killing Bites (Sub),https://kissanime.ac/Anime/Killing-Bites/,kissanime.ac/media/imagesv2/2018/01/Killing-Bites.jpg,Action Anime|  Sci-Fi Anime|  Horror Anime|  Ecchi Anime|  Seinen Anime
Cardcaptor Sakura: Clear Card-hen,https://kissanime.ac/Anime/Cardcaptor-Sakura-Clear-Card-hen/,kissanime.ac/media/imagesv2/2018/01/Cardcaptor-Sakura-Clear-Card-hen.jpg,Adventure Anime|  Comedy Anime|  Magic Anime|  Romance Anime|  Fantasy Anime|  Shoujo Anime
Grancrest Senki,https://kissanime.ac/Anime/Grancrest-Senki.67290/,kissanime.ac/media/imagesv2/2018/01/Grancrest-Senki.jpg,Action Anime|  Fantasy Anime
Fate/Extra Last Encore (Sub),https://kissanime.ac/Anime/Fate-Extra-Last-Encore/,kissanime.ac/media/imagesv2/2018/01/Fate-Extra-Last-Encore.jpg,Action Anime|  Magic Anime|  Fantasy Anime
Saiki Kusuo no Ψ-nan 2 (Sub),https://kissanime.ac/Anime/Saiki-Kusuo-no--nan-2/,kissanime.ac/media/imagesv2/2018/01/Saiki-Kusuo-no-nan-2.jpg,Comedy Anime|  Supernatural Anime|  School Anime|  Shounen Anime
Yowamushi Pedal: Glory Line,https://kissanime.ac/Anime/Yowamushi-Pedal-Glory-Line/,kissanime.ac/media/imagesv2/2018/01/Yowamushi-Pedal-Glory-Line.jpg,Comedy Anime|  Sports Anime|  Drama Anime|  Shounen Anime
Beatless (Sub),https://kissanime.ac/Anime/Beatless/,kissanime.ac/media/imagesv2/2018/01/Beatless.jpg,
25-sai no Joshikousei,https://kissanime.ac/Anime/25-sai-no-Joshikousei/,kissanime.ac/media/imagesv2/2018/01/25-sai-no-Joshikousei.jpg,Romance Anime|  Ecchi Anime|  School Anime
Hare+Guu Deluxe (Sub),https://kissanime.ac/Anime/Hare-Guu-Deluxe-Sub/,kissanime.ac/media/imagesv2/2018/03/Hare-Guu-Deluxe-Sub.jpg,Comedy Anime|  Slice Of Life Anime
Juushinki Pandora (Sub),https://kissanime.ac/Anime/Juushinki-Pandora-Sub/,kissanime.ac/media/imagesv2/2018/03/Juushinki-Pandora-Sub.jpg,Mecha Anime|  Sci-Fi Anime
Mahou Shoujo Ore (Sub),https://kissanime.ac/Anime/Mahou-Shoujo-Ore-Sub/,kissanime.ac/media/imagesv2/2018/03/Mahou-Shoujo-Ore-Sub.jpg,Comedy Anime|  Magic Anime|  Fantasy Anime
